topic_numbers: [2, 30] (step 2)
chunksize: [20, 40, 60, 80, 100]
passes: [10, 20, 40, 80]
run time: 06h:24m:55s

Num Topics: 14, Chucksize: 100, Passes: 80, Coherence Score: 0.49364402841346106
Num Topics: 12, Chucksize: 100, Passes: 80, Coherence Score: 0.4888701290228996
Num Topics: 12, Chucksize: 80, Passes: 80, Coherence Score: 0.48221746487971223
Num Topics: 12, Chucksize: 100, Passes: 40, Coherence Score: 0.4821819152612951
Num Topics: 12, Chucksize: 80, Passes: 40, Coherence Score: 0.4820028302878516
Num Topics: 12, Chucksize: 100, Passes: 20, Coherence Score: 0.4819489256702603
Num Topics: 14, Chucksize: 100, Passes: 40, Coherence Score: 0.47936116696199066
Num Topics: 12, Chucksize: 100, Passes: 10, Coherence Score: 0.47675947265206015
Num Topics: 12, Chucksize: 80, Passes: 20, Coherence Score: 0.47468544984614475
Num Topics: 14, Chucksize: 100, Passes: 20, Coherence Score: 0.47181516242036114
Num Topics: 16, Chucksize: 100, Passes: 80, Coherence Score: 0.468017538747362
Num Topics: 14, Chucksize: 80, Passes: 80, Coherence Score: 0.4649087274582239
Num Topics: 14, Chucksize: 100, Passes: 10, Coherence Score: 0.4648489045706488
Num Topics: 16, Chucksize: 100, Passes: 20, Coherence Score: 0.4641942574445587
Num Topics: 2, Chucksize: 40, Passes: 10, Coherence Score: 0.46256893040199787
Num Topics: 12, Chucksize: 80, Passes: 10, Coherence Score: 0.461876566930489
Num Topics: 16, Chucksize: 100, Passes: 10, Coherence Score: 0.45823052667017744
Num Topics: 16, Chucksize: 100, Passes: 40, Coherence Score: 0.4580911565237291
Num Topics: 14, Chucksize: 80, Passes: 40, Coherence Score: 0.4555255342735735
Num Topics: 12, Chucksize: 60, Passes: 80, Coherence Score: 0.4543514083545561
Num Topics: 12, Chucksize: 60, Passes: 40, Coherence Score: 0.4539067400927706
Num Topics: 2, Chucksize: 40, Passes: 80, Coherence Score: 0.453616606239999
